id_reference,type_reference,designation,programme,code_filiere,coeff_avion,longueur_piece_brut_mm,largeur_piece_brut_mm,epaisseur_brut_mm,debit_mm2,magasin,date_reception_OMP,date_besoin_client,date_transmission_proc,livrable,constituant,famille_code_filiere,norm_mat_inge,norm_mat_fab,indice_manufacturing,codes_protections,avion_impacte_pp,complexite_piece_pp,priorite_pp,indice_client_pp,classe_piece_ref_pp,procedes_speciaux_ind,cms_mat_pp,fournisseur_cmde,supplier_cmde,rang_appro,indice_client,factory,usine,priorite,type_cycle,date_emission_commande,quantite_commande,cycle_negocie,advancement_percentage_tooling,date_prev_livraison_outillage,date_reelle_livraison_outillage,advancement_percentage_program,date_prev_livraison_prog,date_reelle_livraison_prog,advancement_percentage_industrialization,date_prev_livraison_indus,date_reelle_livraison_indus,type_lot,date_prev_fin_usinage,date_reelle_fin_usinage,lieu_TS,date_prev_fin_TS,date_reelle_fin_TS,date_prev_reception_QI_fournisseur,date_reelle_reception_QI_fournisseur,lieu_equipement,date_prev_fin_equipement,date_reelle_fin_equipement,date_expedition,quantite_expediee,date_livraison_contractuelle,date_livraison_previsionnelle_S,date_reception_effective,quantite_receptionnee,ecart_commande,date_livraison_contractuelle_initiale,date_liberation,etat_reference,etat_reference,date_creation_nomenclature_appro,date_reception_matiere_fournisseur,date_liberation_previsionelle,quantite_liberee,supplier_achat,fournisseur_achat,indice_client,autonomie_matiere,autonomie_quincaillerie,quantite_FAI,type_cycle,cycle_fil_rouge_1ere_commande,cycle_fil_rouge_recommande,NRC_fil_rouge_total,RC_fil_rouge,cycle_standard_1ere_commande,cycle_standard_recommande,NRC_standard_total,RC_standard,devise,date_affectation,lag_time
15038,PE,"FITTING REAR BULKHEAD, STGR 19",programme_2,code_filiere_14,1,NA,NA,88.90000153,NA,magasin_13,2014-01-15,2014-01-28,2014-01-22,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,C.4,NA,P2_MSN1,Medium,P0,C,2,-,B0BAMS516003K6-02,fournisseur_9,supplier_9,1,C00,factory_2,usine_2,NA,Speedshop,2014-02-04,5,20,NA,NA,NA,100,2014-02-17,2014-02-17,100,2014-02-17,2014-02-17,Lot3_Released,2014-02-20,2014-02-24,HCL,2014-03-03,2014-03-03,NA,NA,NA,NA,NA,2014-03-03,5,2014-03-04,2014-03-05,2014-03-05,5,0,2014-03-04,2014-04-22,Stock Available,Stock disponible,NA,2014-02-13,2014-04-22,NA,supplier_9,fournisseur_9,C00,FALSE,FALSE,5,Speedshop,20,20,0.030601067,0.029895457,40,40,0.020400661,0.019930405000000002,devise_2,2014-01-31,-84
15038,PE,"FITTING REAR BULKHEAD, STGR 19",programme_2,code_filiere_14,1,NA,NA,88.90000153,NA,magasin_13,2014-01-15,2014-01-28,2014-01-22,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,C.4,NA,P2_MSN1,Medium,P0,C,2,-,B0BAMS516003K6-02,fournisseur_9,supplier_9,1,C00,factory_2,usine_2,NA,Speedshop,2014-03-20,5,20,NA,NA,NA,100,2014-03-07,2014-03-14,100,2014-03-07,2014-03-14,Lot3_Released,2014-03-24,2014-03-27,HCL,2014-04-02,2014-04-03,NA,NA,NA,NA,NA,2014-04-09,5,2014-04-10,2014-04-04,2014-04-14,5,0,2014-04-01,2014-04-22,Stock Available,Stock disponible,NA,2014-03-11,2014-04-22,NA,supplier_9,fournisseur_9,C00,FALSE,FALSE,5,Speedshop,20,20,0.030601067,0.029895457,40,40,0.020400661,0.019930405000000002,devise_2,2014-01-31,-84
15039,PE,"FITTING REAR BULKHEAD, STGR 19",programme_2,code_filiere_14,1,NA,NA,88.90000153,NA,magasin_13,2014-01-15,2014-01-28,2014-01-22,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,C.4,NA,P2_MSN1,Medium,P0,C,2,-,B0BAMS516003K6-02,fournisseur_9,supplier_9,1,C00,factory_2,usine_2,NA,Speedshop,2014-02-04,5,20,NA,NA,NA,100,2014-02-17,2014-02-17,100,2014-02-17,2014-02-17,Lot3_Released,2014-02-20,2014-02-24,HCL,2014-03-03,2014-03-03,NA,NA,NA,NA,NA,2014-03-03,5,2014-03-04,2014-03-06,2014-03-06,5,0,2014-03-04,2014-04-28,Stock Available,Stock disponible,NA,2014-02-13,2014-04-28,NA,supplier_9,fournisseur_9,C00,FALSE,FALSE,5,Speedshop,20,20,0.030601067,0.029895457,40,40,0.020400661,0.019930405000000002,devise_2,2014-01-31,-90
15039,PE,"FITTING REAR BULKHEAD, STGR 19",programme_2,code_filiere_14,1,NA,NA,88.90000153,NA,magasin_13,2014-01-15,2014-01-28,2014-01-22,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,C.4,NA,P2_MSN1,Medium,P0,C,2,-,B0BAMS516003K6-02,fournisseur_9,supplier_9,1,C00,factory_2,usine_2,NA,Speedshop,2014-03-20,5,20,NA,NA,NA,100,2014-03-07,2014-03-14,100,2014-03-07,2014-03-14,Lot3_Released,2014-03-24,2014-03-27,HCL,2014-04-02,2014-04-03,NA,NA,NA,NA,NA,2014-04-09,5,2014-04-10,2014-04-04,2014-04-23,5,0,2014-04-01,2014-04-28,Stock Available,Stock disponible,NA,2014-03-11,2014-04-28,NA,supplier_9,fournisseur_9,C00,FALSE,FALSE,5,Speedshop,20,20,0.030601067,0.029895457,40,40,0.020400661,0.019930405000000002,devise_2,2014-01-31,-90
15042,PE,"FRAME FS813 36, AFT LOWER PANEL",programme_2,code_filiere_6,1,NA,NA,38.09999847,NA,magasin_13,2014-04-11,2014-04-24,2014-04-16,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A9,NA,P2_MSN1,NA,P0,C,2,144-005,B0BAMS516003K4-09,fournisseur_12,supplier_12,1,C00,factory_2,usine_2,NA,Speedshop,2014-05-09,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lot3_Released,2014-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-13,1,2014-05-28,2014-06-14,2014-06-16,1,1,2014-05-28,2014-06-17,Stock Available,Stock disponible,NA,NA,2014-06-17,NA,supplier_12,fournisseur_12,C00,FALSE,FALSE,2,Speedshop,25,30,0.128320287,0.071348272,50,60,0.128320287,0.029063035,devise_2,2014-04-18,-54
15042,PE,"FRAME FS813 36, AFT LOWER PANEL",programme_2,code_filiere_6,1,NA,NA,38.09999847,NA,magasin_13,2014-04-11,2014-04-24,2014-04-16,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A9,NA,P2_MSN1,NA,P0,C,2,144-005,B0BAMS516003K4-09,fournisseur_12,supplier_12,2,C00,factory_2,usine_2,NA,Speedshop,2014-05-09,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lot3_Released,2014-05-13,2014-05-13,NMF EUROPA,NA,NA,NA,NA,PE,NA,NA,2014-09-22,1,2014-09-15,2014-09-26,2014-09-24,1,0,2014-05-28,2014-09-25,Stock Available,Stock disponible,NA,2014-07-07,2014-09-25,NA,supplier_20,fournisseur_20,C00,FALSE,FALSE,2,Speedshop,30,30,0.126165261,0.018536847,60,60,0.126165261,0.018536847,devise_2,2014-04-18,-154
15042,PE,"FRAME FS813 36, AFT LOWER PANEL",programme_2,code_filiere_6,1,NA,NA,38.09999847,NA,magasin_13,2014-04-11,2014-04-24,2014-04-16,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A9,NA,P2_MSN1,NA,P0,C,2,144-005,B0BAMS516003K4-09,fournisseur_12,supplier_12,1,C00,factory_2,usine_2,NA,Speedshop,2014-05-09,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lot3_Released,2014-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-13,1,2014-05-28,2014-06-14,2014-06-16,1,1,2014-05-28,2014-06-17,Stock Available,Stock disponible,NA,NA,2014-06-17,NA,supplier_20,fournisseur_20,C00,FALSE,FALSE,2,Speedshop,30,30,0.126165261,0.018536847,60,60,0.126165261,0.018536847,devise_2,2014-04-18,-54
15042,PE,"FRAME FS813 36, AFT LOWER PANEL",programme_2,code_filiere_6,1,NA,NA,38.09999847,NA,magasin_13,2014-04-11,2014-04-24,2014-04-16,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A9,NA,P2_MSN1,NA,P0,C,2,144-005,B0BAMS516003K4-09,fournisseur_20,supplier_20,1,C00,factory_2,usine_2,NA,Speedshop,2014-05-09,2,NA,1,2014-05-06,2014-05-06,1,2014-05-07,2014-05-06,1,2014-05-08,2014-05-06,Lot3_Released,2014-05-09,2014-05-06,AMF,2014-05-23,2014-05-23,NA,NA,on site,NA,NA,2014-05-23,2,2014-05-30,2014-05-28,2014-05-30,2,0,2014-05-30,2014-06-05,Stock Available,Stock disponible,NA,2014-05-02,NA,NA,supplier_20,fournisseur_20,C00,FALSE,FALSE,2,Speedshop,30,30,0.126165261,0.018536847,60,60,0.126165261,0.018536847,devise_2,2014-04-18,-42
15042,PE,"FRAME FS813 36, AFT LOWER PANEL",programme_2,code_filiere_6,1,NA,NA,38.09999847,NA,magasin_13,2014-04-11,2014-04-24,2014-04-16,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A9,NA,P2_MSN1,NA,P0,C,2,144-005,B0BAMS516003K4-09,fournisseur_20,supplier_20,1,C00,factory_2,usine_2,NA,Speedshop,2014-05-09,2,NA,1,2014-05-06,2014-05-06,1,2014-05-07,2014-05-06,1,2014-05-08,2014-05-06,Lot3_Released,2014-05-09,2014-05-06,AMF,2014-05-23,2014-05-23,NA,NA,on site,NA,NA,2014-05-23,2,2014-05-30,2014-05-28,2014-05-30,2,0,2014-05-30,2014-06-05,Stock Available,Stock disponible,NA,2014-05-02,NA,NA,supplier_12,fournisseur_12,C00,FALSE,FALSE,2,Speedshop,25,30,0.128320287,0.071348272,50,60,0.128320287,0.029063035,devise_2,2014-04-18,-42
15042,PE,"FRAME FS813 36, AFT LOWER PANEL",programme_2,code_filiere_6,1,NA,NA,38.09999847,NA,magasin_13,2014-04-11,2014-04-24,2014-04-16,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A9,NA,P2_MSN1,NA,P0,C,2,144-005,B0BAMS516003K4-09,fournisseur_12,supplier_12,2,C00,factory_2,usine_2,NA,Speedshop,2014-05-09,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lot3_Released,2014-05-13,2014-05-13,NMF EUROPA,NA,NA,NA,NA,PE,NA,NA,2014-09-22,1,2014-09-15,2014-09-26,2014-09-24,1,0,2014-05-28,2014-09-25,Stock Available,Stock disponible,NA,2014-07-07,2014-09-25,NA,supplier_12,fournisseur_12,C00,FALSE,FALSE,2,Speedshop,25,30,0.128320287,0.071348272,50,60,0.128320287,0.029063035,devise_2,2014-04-18,-154
